City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,lorengau,-2.0226,147.2712,83.28,73,89,4.85,PG,2023-04-01 22:45:30
163,sakaiminato,35.55,133.2333,53.58,76,20,19.57,JP,2023-04-01 22:45:30
164,kununurra,-15.7667,128.7333,78.78,89,22,3.44,AU,2023-04-01 22:43:03
165,puerto ayora,-0.7393,-90.3518,85.96,90,93,5.99,EC,2023-04-01 22:45:30
166,kovernino,57.1253,43.8142,37.49,93,100,6.62,RU,2023-04-01 22:45:30
167,omsukchan,62.5333,155.8,17.82,91,100,2.35,RU,2023-04-01 22:45:30
168,dikson,73.5069,80.5464,2.44,100,100,3.15,RU,2023-04-01 22:45:31
169,bollnas,61.3482,16.3946,24.08,95,69,3.74,SE,2023-04-01 22:45:31
170,olga,43.7444,135.2892,39.69,63,2,0.51,RU,2023-04-01 22:45:31
171,nizhniy tsasuchey,50.5167,115.1333,27.19,48,100,19.75,RU,2023-04-01 22:45:31
172,vila do maio,15.1333,-23.2167,84.99,76,0,12.21,CV,2023-04-01 22:45:31
173,tuktoyaktuk,69.4541,-133.0374,-4.0,65,0,10.36,CA,2023-04-01 22:45:31
174,salalah,17.0151,54.0924,82.49,83,75,9.22,OM,2023-04-01 22:45:31
175,saint george,37.1041,-113.5841,67.42,25,0,4.61,US,2023-04-01 22:45:31
176,santa maria,-29.6842,-53.8069,65.5,59,0,3.44,BR,2023-04-01 22:45:31
177,almonte,37.2647,-6.5167,63.61,85,46,12.93,ES,2023-04-01 22:45:15
178,itarema,-2.9248,-39.9167,78.04,82,100,6.35,BR,2023-04-01 22:45:31
179,lensk,60.7253,114.9278,2.39,99,84,3.18,RU,2023-04-01 22:45:31
180,linxia,35.6003,103.2064,36.5,86,100,3.56,CN,2023-04-01 22:45:31
181,zyryanka,65.75,150.85,-1.77,94,100,16.58,RU,2023-04-01 22:45:31
182,laguna,38.421,-121.4238,67.42,55,40,10.36,US,2023-04-01 22:45:31
183,yellowknife,62.456,-114.3525,12.72,62,100,17.27,CA,2023-04-01 22:40:46
184,san pedro,14.35,121.0167,79.83,85,20,2.3,PH,2023-04-01 22:45:32
185,simpang,-1.2667,104.0833,73.11,98,100,1.5,ID,2023-04-01 22:45:32
186,zhigansk,66.7697,123.3711,-7.1,98,96,16.98,RU,2023-04-01 22:45:32
187,palmer,42.1584,-72.3287,63.95,64,0,11.5,US,2023-04-01 22:45:32
188,severo-kurilsk,50.6789,156.125,32.18,90,58,17.45,RU,2023-04-01 22:45:32
189,karoi,-16.8099,29.6925,60.39,92,94,6.33,ZW,2023-04-01 22:45:32
190,itaituba,-4.2761,-55.9836,74.57,98,100,1.95,BR,2023-04-01 22:45:32
191,pangnirtung,66.1451,-65.7125,-0.67,83,73,7.7,CA,2023-04-01 22:45:32
192,airai,-8.9266,125.4092,62.76,91,100,1.95,TL,2023-04-01 22:45:32
193,saint-pierre,-21.3393,55.4781,75.56,83,0,5.75,RE,2023-04-01 22:45:32
